"path_03"	"X770286.BAL.LUL.Inv.V1"	"X770328.BAL.RML.Inv.V1"	"X770328.BAL.RUL.Inv.V2"	"X770341.BAL.RUL.inv.V1"	"X770341.BAL.RUL.Inv.V1"	"X770359.BAL.RLL.Inv.V1"	"X770359.BAL.RLL.Inv.V2"	"X770365.BAL.RUL.Inv.V1"	"X770384.BAL.LUL.Inv.V1"	"X770389.BAL.RML.Inv.V1"	"X770396.BAL.RUL.Inv.V1"	"X770396.UNIV.0234.BAL.RML.Inv.V2"	"X770402.BAL.RUL.Inv.V1"	"X770402.BAL.RUL.Inv.V2"	"X770406.BAL.LLL.Inv.V1"	"X770418.BAL.LUL.Inv.V1"	"X770420.BAL.LUL.inv.V1"	"X770450.BAL.LLL.inv.V1"	"X770464.BAL.LLL.Inv.V1"	"X770467.BAL.RML.Inv.V1"	"X770468.BAL.Lingula.Inv.V1"	"X770468.BAL.RML.inv.V1"	"X770468.BAL.RML.Inv.V2"	"X770471.BAL.RML.Inv.V1"	"X770473.BAL.RLL.Inv.V1"	"X770476.BAL.RML.Inv.V1"	"X770478.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V1"	"X770483.BAL.RUL.Inv.V2"	"X770485.BAL.RML.Inv.V2"	"X770485.NYU.2829.BAL.Right.inv.V3"	"X770492.BAL.LUL.Inv.V1"	"X770493.BAL.LUL.Inv.V1"	"X770505.BAL.RML.Inv.V1"	"X770505.BAL.RUL.Inv.V2"	"X770513.BAL.RUL.Inv.V1"	"X770530.BAL.LUL.Inv.V1"	"X770543.BAL.RLL.Inv.V1"	"X770548.BAL.LLL.Inv.V1"	"X770551.BAL.RUL.Inv.V1"	"X770553.BAL.LUL.Inv.V1"	"X770559.BAL.RUL.Inv.V2"	"X770569.BAL.RLL.Inv.V1"	"X770572.BAL.RLL.Inv.V1"	"X770595.BAL.RLL.Inv.V1"	"X770596.BAL.RUL.Inv.V1"	"X770602.BAL.LLL.Inv.V1"	"X770610.BAL.LUL.Inv.V1"	"X770616.BAL.RML.Inv.V1"	"X770618.BAL.RUL.Inv.V1"	"X770633.BAL.RUL.Inv.V1"	"X770634.BAL.Lingula.Uninv.V1"	"X770634.BAL.RML.Inv.V1"	"X770635.BAL.RML.Inv.V1"	"X770637.BAL.RML.Inv.V1"	"X770642.BAL.Lingula.Inv.V1"	"X770653.BAL.LUL.Inv.V1"	"X770660.BAL.Lingula.Inv.V1"	"X770665.BAL.RUL.Inv.V1"	"X770666.BAL.Lingula.Inv.V1"	"X770668.BCI.0007.BAL.LUL.Inv.V1"	"X770676.BCI.0008.BAL.LUL.Inv.V1"	"X770682.BAL.RUL.INV.V1"	"X770688.BAL.LLL.Inv.V1"	"X770693.BAL.RUL.Inv.V1"	"X770697.BAL.RUL.Inv.V1"	"X770702.BAL.RUL.Inv.V1"	"X770704.BAL.LUL.Inv.V1"	"X770705.BAL.Lingula.Inv.V1"	"X770708.BAL.RUL.Inv.V1"	"X770713.BAL.RUL.Inv.V1"	"X770733.BAL.LUL.Inv.V1"	"X770745.BAL.RUL.Inv.V1"	"X770750.BAL.RLL.Inv.V1"	"X770753.BAL.RLL.Inv.V1"	"X770755.BAL.RLL.Inv.V1"	"X770758.BAL.RUL.INV.V1"	"X770761.BAL.RUL.Inv.V1"	"X770767.BAL.RML.Inv.V2"	"X770767.BAL.RUL.Inv.V1"	"X770767.BKG.V1"	"X770767.Supraglottic.V1"	"X770777.BAL.RUL.Inv.V1"	"X770777.BKG.V1"	"X770777.Supraglottic.V1"	"X770779.BAL.RML.Inv.V2"	"X770779.BAL.RUL.Inv.V1"	"X770779.BKG.V2"	"X770779.Supraglottic.V1"	"X770779.Supraglottic.V2"	"X770780.BAL.LUL.Inv.V1"	"X770780.Supraglottic.V1"	"X770785.BAL.RUL.Inv.V1"	"X770785.Supraglottic.V1"	"X770798.BAL.LUL.Inv.V1"	"X770798.Supraglottic.V1"	"X770800.LC2790.BAL.RUL.Inv.V1"	"X770800.LC2790.BKG.V1"	"X770800.LC2790.Supraglottic.V1"	"X770803.BAL.RUL.Inv.V1"	"X770805.BAL.RLL.Inv.V1"	"X770808.BCI.0016.BAL.RML.Inv.V1"	"X770842.BAL.RML.Inv.V1"	"X770842.BKG.V1"	"X770842.Supraglottic.V1"	"X770844.BAL.RLL.Inv.V1"	"X770844.BKG.V1"	"X770844.Supraglottic.V1"	"X770861.BAL.RUL.Inv.V1"	"X770861.BKG.V1"	"X770861.Supraglottic.V1"	"X770862.BCI.0017.BAL.RML.Inv.V1"	"X770862.BCI.0017.Supraglottic.V1"	"X770863.BAL.Lingula.Inv.V1"	"X770863.Supraglottic.V1"	"X770864.BAL.RML.Inv.V1"	"X770864.Supraglottic.V1"	"X770870.BAL.RML.Inv.V1"	"X770870.Supraglottic.V1"	"X770882.LCL.011.BAL.RUL.Inv.V1"	"X770882.LCL.011.Supraglottic.V1"	"X770920.BCI.019.BAL.RUL.Inv.V1"	"X770925.BAL.RLL.Inv.V1"	"X770927.BAL.RUL.Inv.V1"	"X770929.BAL.RML.Inv.V1"	"X770944.BAL.RML.Inv.V1"	"X770944.BKG.V1"	"X770944.Supraglottic.V1"	"X770946.BAL.RML.Inv.V1"	"X770946.BKG.V1"	"X770946.Supraglottic.V1"	"X770947.BAL.RML.Inv.V1"	"X770947.BKG.V1"	"X770947.Supraglottic.V1"	"X770955.BAL.RML.Inv.V1"	"X770962.BAL.RLL.Inv.V1"	"X770962.Supraglottic.V1"	"X770973.BAL.LUL.Inv.V1"	"X770978.BAL.RUL.Inv.V1"	"UNIV.0042.BAL.RUL.Inv.V1"	"UNIV.0044.BAL.RUL.Inv.V1"	"UNIV.0172.BAL.RLL.Inv.V1"	"UNIV.0311.LC.BAL.RLL.Inv.V1"	"UNIV.0384.BAL.LLL.Inv.V1"	"UNIV.0402.BAL.RML.UnInv.V1"	"UNIV.0419.BAL.LUL.Inv.V1"
"CD226"	0	1144	4	0	0	1180	956	1044	266	2292	0	188	0	0	246	62	0	0	3460	0	0	4	0	1742	140	0	166	3646	0	0	0	0	76	4	58	8	0	108	0	0	0	0	120	0	0	0	118	18	196	4	0	36	0	0	0	0	0	64	0	658	2	88	0	0	0	228	14	164	0	0	504	362	242	0	0	472	400	0	84	28	0	0	4	0	0	0	0	0	14	0	4	0	0	0	0	0	0	0	8	0	56	276	30	0	0	922	0	0	502	0	0	1892	0	48	0	0	0	0	0	0	0	0	0	28	864	2072	0	0	48	0	0	524	0	0	456	0	0	0	1992	0	0	0	0	0	0	48
"CD229, LY9"	0	0	0	0	0	0	14	0	0	136	0	416	0	0	0	4	0	4	346	0	20	98	284	0	0	0	44	8	0	0	0	1892	74	32	0	1078	0	0	0	0	0	0	4	0	134	0	68	918	194	0	2904	0	0	2	4	0	0	0	0	32	4	86	356	0	0	62	56	44	0	98	294	2	0	0	0	38	0	0	2452	564	0	2	0	0	0	0	146	0	0	0	0	0	0	0	8	0	6	0	0	6	190	0	16	0	0	476	0	0	0	0	0	754	0	18	2	0	28	0	0	100	0	2418	6	16	0	366	0	0	0	0	0	0	0	0	640	0	0	0	58	12	0	0	0	0	0	338
"CD23, FCER2"	0	0	266	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	386	132	0	534	0	0	2	0	0	0	4	0	0	0	138	2	0	0	0	0	0	0	0	74	0	0	4	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	254	0	0	0	0	0	36	0	0	0	0	64	0	0	0	0	0	22	0	4	0	0	0	0	0	0	0	0	0	18	0	0	0	40	0	0	0	0	0	0	0
"CD230, PRNP"	726	3910	1674	0	6	1186	2314	3742	132	3176	624	444	3850	0	174	696	118	66	10580	1168	3822	6844	4724	384	402	0	1346	2336	0	76	0	228	1404	3862	7936	3286	2	70	42	282	1076	0	2674	1420	1834	386	1788	118	2462	2792	936	444	548	4724	0	324	40	1588	36	7504	4354	3446	3054	8	1666	3764	1574	13454	666	0	958	14886	6494	70	0	4584	2596	2444	1582	9088	0	0	4792	0	376	8	42	0	0	0	428	0	3852	0	1886	0	1230	0	86	142	18	2362	14	0	0	916	0	4	172	0	0	862	0	118	0	894	30	6	88	0	0	15262	22	448	0	3242	0	484	3136	0	0	2328	0	0	5404	468	0	74	10490	154	12868	0	18	0	232	3056
"CD231, TSPAN7"	0	0	32	0	0	0	44	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	66	4	0	0	24	0	0	0	0	0	4	0	0	0	0	0	0	0	442	0	0	0	100	0	0	4	0	0	0	0	2240	0	0	0	1590	126	0	0	122	0	2134	0	0	0	0	3904	6	0	0	28	0	8	24	284	0	0	508	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	0	0	630	0	0	0	0	0	432	0	0	6	0	0	0	0	0	0	74	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	8	0
"CD232, PLXNC1"	62	3982	11882	0	0	1324	5020	186	2142	4532	6764	4020	6842	0	3078	36	1204	1294	2136	2862	30	894	470	1504	2180	1599	2183	158	0	522	304	15922	1082	414	798	1546	146	66	420	428	2868	1412	1716	0	640	2364	1876	7194	726	1860	8538	2102	400	1984	4	68	128	2838	364	2166	272	1286	8	116	9384	2516	3392	1168	1930	10261	1958	4548	10346	4	0	4080	1478	9636	8146	7094	0	6	864	0	0	768	2888	0	146	0	5826	0	4	0	566	0	1006	0	0	1292	1282	2348	1700	0	152	5507	0	0	170	0	140	4404	4	14068	8	4956	2370	4	0	246	4	12430	1198	602	828	3968	0	0	1830	0	120	1234	0	16	4994	0	0	1568	10090	12376	252	456	17284	2	0	646
"CD233, SLC4A1"	0	790	4584	0	0	1358	4908	348	638	9542	76	0	446	0	0	392	56	86	0	826	0	794	0	10	68	0	0	990	0	0	0	0	312	0	0	208	0	0	2428	518	7124	2536	0	0	288	9876	864	0	54	0	1834	186	1616	692	4	22	0	204	54	8212	246	2102	0	208	27106	1674	0	0	0	2712	524	18990	0	0	0	20	0	0	19872	5182	0	0	3490	0	0	52	0	0	0	0	4	0	0	0	0	0	220	0	0	0	0	74	1424	0	0	12974	0	0	326	0	0	17787	0	5152	4	3050	34	0	0	8	0	1866	0	3202	0	0	0	0	204	0	0	1242	0	0	60	0	0	886	22	8	0	0	4258	0	0	0
"CD234, DARC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	230	0	0	0	0	4	46	8	76	0	6	0	0	0	0	0	2	0	0	698	0	0	0	0	0	0	8	0	0	0	0	0	2	4	0	0	0	0	0	0	114	1150	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	38	0	0	0	0	4	0	0	0	168	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
"CD235a, GYPA"	0	0	852	0	0	1774	10922	0	502	4166	0	0	0	0	0	70	164	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	598	0	0	0	0	1216	1490	0	662	1186	4	0	306	0	408	0	0	0	1102	160	4	0	0	280	0	0	0	2478	270	744	0	0	648	894	0	0	2	8	606	2578	2468	0	0	8	436	3508	11154	2136	0	0	0	0	0	4	174	0	0	0	2250	0	0	0	0	0	654	0	0	0	0	0	836	0	0	5048	0	0	20	0	0	15518	0	350	0	3343	0	0	0	0	0	904	0	310	0	0	0	0	230	0	0	4	0	0	0	0	0	1504	548	0	0	0	0	0	0	288
"CD235b, GYPB"	0	108	736	0	0	0	778	0	0	472	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	280	0	76	30	26	0	16	0	8	0	0	0	412	0	4	0	4	0	0	16	0	68	4	24	2	0	250	48	0	0	0	0	16	216	656	0	4	0	8	10	2340	542	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	882	0	0	0	0	0	0	0	0	268	0	0	0	0	0	930	0	0	0	621	0	0	0	0	0	66	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	76	40	0	0	0	0	0	0	0
"CD236, GYPC"	560	460	3326	0	40620	2578	9464	3792	8	5216	1152	1558	306	0	3124	1006	80	3512	404	1952	1717	3338	1938	262	1430	4804	3448	3416	110	342	0	1762	234	1322	122	5828	68	470	3356	3482	4558	1668	2338	0	1156	5304	2644	978	624	22	3212	998	420	4876	20	0	0	2186	968	12878	522	2052	6388	0	3230	1956	1752	7750	944	6828	978	18170	6308	196	608	544	66	0	28228	3826	0	0	2258	0	0	8	14	0	0	0	2660	0	234	0	0	0	2398	0	4	898	632	132	8105	0	0	12175	0	0	1750	0	0	26824	0	588	0	800	0	0	0	122	0	5478	40	820	8	2642	0	0	1602	0	0	32	0	0	1426	2146	0	480	3480	4	1374	188	8954	0	0	6034
"CD238, KEL"	0	0	0	0	0	0	162	78	0	110	2	0	0	0	14	4	0	0	0	0	4	4	0	0	2	70	0	0	0	0	0	2	68	60	1314	0	0	0	0	0	252	254	90	4	0	462	414	0	0	120	0	0	0	0	2	0	0	0	0	48	4	116	0	0	1904	0	0	6	0	8	0	2156	0	0	0	0	4428	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	66	0	0	228	0	0	354	0	0	232	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4438	662	218	202	8	0	0	0	28
"CD239, LU"	4	40	0	0	0	102	102	26	4	510	6	6	20	0	0	4	28	32	0	192	4	0	0	0	116	0	4	6	0	6	10	0	38	0	56	24	64	0	0	0	774	38	8	0	16	0	412	0	172	154	162	144	540	0	38	196	14	22	0	954	0	706	162	14	24	180	0	0	0	108	376	3490	0	0	0	290	8	6	32	12	0	0	0	0	0	0	6	0	0	0	0	0	120	0	0	0	8	0	0	34	0	536	4	0	0	154	0	0	2	0	0	104	0	12	156	130	0	0	0	0	0	16	162	0	4	2	0	0	58	0	0	74	0	0	8	0	0	2374	6	14	0	0	0	2	0	0
"CD24"	520	445860	194704	908	24136	215612	55040	60168	76904	188842	17220	21932	160598	92	1976	92808	34748	124658	2924	230224	46982	84130	866	4652	15464	4728	3496	41912	9646	93136	81746	14832	242052	21472	101516	36332	40352	105554	70614	40832	107120	33586	12396	120526	188298	22384	91402	12580	59282	17072	189666	65368	132262	9516	20	139612	128	19044	11196	126116	104916	93228	219652	43932	28440	76984	51808	2228	224	57792	224094	631022	45932	128420	200806	110362	331630	210336	44052	134866	0	4868	51344	0	26276	8944	129620	0	144	0	26516	768	189770	516	22556	636	64354	0	12940	101704	12148	174984	56992	0	2012	78874	8	1736	133044	0	1212	45884	0	71696	14992	172552	11592	105352	13634	2904	0	78894	119460	103998	43620	7864	0	68040	76208	0	9108	99296	0	0	2780	22880	4296	68850	33730	29606	44560	17036	8788	24896	0	25620
"CD240CE, RHCE"	0	290	392	0	0	0	118	612	0	62	24	2266	0	0	0	66	0	0	0	0	126	430	116	0	0	0	20	0	0	0	0	2	140	0	2	26	0	0	8	0	902	0	0	0	0	0	304	4	0	0	0	0	12	136	0	0	0	0	0	264	18	16	2	0	20	0	0	0	4	8	374	4	4	0	0	50	0	0	452	2822	0	0	0	0	4	0	0	0	0	0	6	0	8	0	0	0	6	0	0	214	0	8	0	0	0	1092	2	0	0	0	0	576	0	0	0	114	8	0	116	0	0	12	0	0	0	170	0	292	610	0	0	8	0	0	2	0	0	0	10	0	0	0	300	0	0	0
"CD240D, RHD"	0	290	392	0	0	0	118	612	0	62	24	2266	0	0	0	66	0	0	0	0	126	430	116	0	0	0	20	0	0	0	0	2	140	0	2	26	0	0	8	0	902	0	0	0	0	0	304	4	0	0	0	0	12	136	0	0	0	0	0	264	18	16	2	0	20	0	0	0	4	8	374	4	4	0	0	50	0	0	452	2822	0	0	0	0	4	0	0	0	0	0	6	0	8	0	0	0	6	0	0	214	0	8	0	0	0	1092	2	0	0	0	0	576	0	0	0	114	8	0	116	0	0	12	0	0	0	170	0	292	610	0	0	8	0	0	2	0	0	0	10	0	0	0	300	0	0	0
"CD241, RHAG"	2	0	0	0	0	4	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	44	0	0	0	0	2	350	0	4	0	0	0	0	348	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	2	0	0	122	0	0	2	0	0	898	0	12	4	130	0	0	0	0	0	550	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	4
"CD242, ICAM4"	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	16	0	76	4	0	0	0	102	250	0	0	0	0	0	0	0	0	0	0	0	0	24	0	102	0	0	0	10	166	0	70	0	0	8	0	0	0	0	8	0	10	0	108	0	0	0	222	0	14	0	0	224	4	0	736	0	182	334	0	6	124	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	40	0	0	12	0	4	12	0	288	4	0	0	0	0	0	0	18	0	0	0	0	0	0	26	0	0	10	0	0	0	132	4	32	0	0	0	0	46
"CD246, ALK"	11560	2	0	0	0	0	314	1992	0	0	4	528	0	0	0	4	0	0	0	4	204	1044	2065	0	116	1668	2270	4	0	4	0	268	236	8869	1212	0	0	0	0	0	16	0	154	0	2	60	350	0	58	0	8	0	30	4	6	0	10	224	0	262	8	86	2140	0	2	354	0	200	0	0	108	12	0	0	0	202	2	0	0	0	0	4	0	0	0	0	0	0	0	0	12	4	0	0	142	0	12	0	310	20	2	0	58	0	0	98	0	0	898	0	0	152	0	20	68	2	0	0	143	0	0	4	0	0	0	466	0	0	974	0	0	828	0	0	1936	0	0	0	990	0	3294	0	0	0	4	126
"CD247"	20	0	310	0	0	10	2	0	98	172	4	6462	4	0	10	598	152	0	222	2	792	0	104	0	26	82	82	178	0	0	0	2	32	0	4	0	2	4	2	66	0	10	148	0	320	0	18	2174	0	6	106	2	1072	10	4	0	0	0	0	46	0	108	0	0	58	0	4	2	0	118	8	598	0	0	0	508	0	0	1680	140	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	754	0	0	0	0	2	2	0	0	1970	0	0	16	0	0	1132	0	56	0	20	0	0	0	0	0	1704	26	0	0	76	0	0	0	0	0	4	0	0	96	0	0	232	262	0	0	0	0	0	4	6
"CD248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	12	0	270	0	0	0	0	3794	0	16	4	0	16	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	48	0	4	0	0	0	4	0	0	0	282	0	46	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0
"CD249, ENPEP"	446	0	0	0	0	36	68	0	0	0	0	0	0	0	0	0	8	0	0	0	0	152	0	6	40	0	0	0	0	0	0	0	66	0	0	0	2	0	0	0	1008	0	0	0	12	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	78	0	0	0	16	0	4	0	12530	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	12	0	0	0	0	0	0	0	236	0	0	2	0	1754	0	0	8	0	0	0	0	66	0	0	228	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	4	22
"CD25, IL2RA"	0	352	0	0	0	234	180	0	0	374	4	1976	8	0	80	14	0	0	110	0	0	302	4	0	0	1018	16	4716	0	0	0	0	0	170	4840	0	2	0	0	0	4	0	0	0	0	0	0	8	84	646	8	586	0	16	6	0	0	706	0	3336	2	40	116	0	180	8	32	310	0	0	228	8	0	0	0	524	0	0	0	0	0	44	80	0	0	0	556	0	0	0	2910	4	0	0	528	0	650	0	0	0	0	1306	8	0	0	340	0	0	688	0	0	262	0	0	2	3202	4	0	0	4	0	276	0	0	134	1382	0	0	134	0	0	0	0	0	106	238	0	0	3308	0	1110	4	0	0	0	684
"CD252, TNFSF4"	0	0	0	0	0	0	136	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2722	0	0	4	0	0	254	182	0	0	0	0	0	0	0	324	0	84	0	0	4	4	4	814	66	26	2	0	0	4	0	0	0	0	444	464	92	0	0	280	0	0	56	0	2	38	0	0	0	0	108	4	0	12	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	180	254	478	0	0	0	10	0	0	2	0	0	170	0	0	0	0	0	0	0	0	0	198	0	8	0	44	0	0	164	0	0	0	0	0	114	0	0	0	90	152	122	0	0	0	0	520
"CD253, TNFSF10"	9596	1956	4422	0	0	5537	4932	1050	14414	10758	3160	3756	20	0	24	2728	2	316	500	13174	7846	6260	580	350	1266	140	2202	2168	366	702	4380	336	4526	1030	3054	8438	7388	570	3662	536	5818	7486	6194	980	3912	4982	3562	3502	4486	1884	5804	5252	9032	2644	0	1906	0	3770	812	4976	8932	5490	26550	1146	6124	5402	512	1136	0	1226	7314	30356	1472	3590	8164	10020	12216	8070	8430	2318	0	188	4806	0	2542	194	4786	0	56	0	9293	410	7626	0	110	0	6408	0	3828	2964	3982	20475	1964	0	0	8742	0	0	4859	0	64	3606	0	3453	1612	5242	3918	1516	1088	8672	1982	17828	5098	4648	432	8908	0	264	2272	0	24	5666	0	0	1062	356	0	2256	3544	2338	2967	0	152	12	0	1426
"CD254, TNFSF11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	30	0	0	0	0	12	0	0	0	0	0	16	0	0	0	0	0	88	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CD256, TNFSF13"	439	1638	0	316	0	198	652	542	0	78	174	379	4	0	2	0	0	0	11492	0	0	1068	470	1254	46	0	630	1834	0	0	0	34	4	6	615	60	0	0	988	540	752	0	592	0	292	0	6	382	54	4	260	0	0	64	0	0	0	16	82	1438	0	20	1420	0	3526	42	0	966	0	2	92	190	0	4	0	238	92	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	2	528	0	0	4	0	0	0	0	0	1814	0	0	22	0	0	12	0	4	0	0	0	0	0	0	4	0	432	0	0	188	0	0	2	0	0	242	10	0	0	128	4	404	0	158	56	0	164
"CD257, TNFSF13B"	18782	130	772	0	0	1726	3694	5674	518	1524	2170	4830	1460	0	3144	2114	4	264	1820	700	4082	4170	4330	9834	262	4392	6721	4266	0	794	0	29552	404	1854	3892	1840	0	1994	2202	2064	884	116	7802	576	2810	200	1492	2810	1198	2050	1894	1470	16	1560	4	28	0	6816	8	3874	938	224	32644	0	1044	744	13752	7378	1348	1498	902	7164	11117	74	2710	4174	4444	0	3246	9575	0	28	460	0	0	1164	492	0	0	0	3817	0	494	0	2234	0	274	0	0	2256	2366	374	914	0	0	2852	0	0	2618	0	66	340	0	2990	10	870	458	0	6	3530	1000	2398	1080	140	0	15093	0	260	3173	0	1274	2100	0	60	8688	1826	0	1252	8628	1174	7399	0	276	1660	242	9884
"CD258, TNFSF14"	0	1422	296	0	0	682	1804	4	676	698	1384	244	1466	8	78	0	8	0	6580	1342	4	8	4	16	8	4	816	62	0	0	0	808	210	974	6122	26	44	0	16	0	6634	0	42	0	124	166	212	3648	284	0	222	142	278	32	174	4	0	812	1376	790	0	724	0	0	9944	246	4	654	0	2314	220	8	132	8	16	908	106	0	3280	2238	0	6	4	0	0	0	12	0	0	0	3050	0	96	0	42	0	8	0	0	0	48	1092	3104	0	0	1446	0	88	224	0	4	878	0	2968	48	400	364	4	0	0	22	318	194	926	0	379	0	0	366	0	0	638	0	0	1856	0	0	32	470	11586	12	9591	0	0	0	0
"CD26, DPP4"	0	0	4	0	0	1456	210	0	150	174	516	98	4	0	0	200	0	0	2080	4	0	498	112	48	5804	44	114	22	2	2614	0	204	436	2512	0	1032	1108	4	1060	0	410	4	270	0	1272	9966	1174	4	4294	14963	4206	4	716	50	0	0	14	0	0	1612	1006	394	7430	146	48	1364	1456	120	2	0	1574	1920	2340	1446	0	1000	40	0	1412	16	0	0	0	0	0	0	0	0	0	0	0	0	868	0	3148	0	0	0	0	1436	92	3950	4	0	0	652	0	0	1656	0	0	2474	0	0	0	254	2	0	0	0	0	58	1042	2201	314	24	0	0	2182	0	0	784	0	0	60	4246	0	8	7478	4	166	0	0	4	0	3432
"CD261, TNFRSF10A"	980	8	6	0	0	918	1836	3756	1438	1120	3168	1190	6750	0	914	4	12	1716	426	876	2943	2606	2952	798	1782	68	3548	2686	0	146	10	2102	1066	1162	11318	1206	6	24	0	4090	3080	1120	1507	4	1416	2562	1164	122	3138	5572	1690	1128	342	1096	0	48	0	1456	0	3920	8803	2292	270	56	3110	1604	4	592	0	50	928	1044	226	0	128	2404	2316	16	974	824	0	18	136	0	0	26	64	0	0	0	182	0	650	0	66	0	48	0	28	6	44	240	4	0	0	1366	0	0	1002	0	0	656	0	1566	40	252	20	86	0	32	0	1588	148	730	244	2020	0	0	2374	4	0	64	0	0	3264	94	0	522	1576	1196	1520	0	372	0	0	942
"CD262, TNFRSF10B"	980	8	6	0	0	918	1836	3756	1438	1120	3168	1190	6750	0	914	4	12	1716	426	876	2943	2606	2952	798	1782	68	3548	2686	0	146	10	2102	1066	1162	11318	1206	6	24	0	4090	3080	1120	1507	4	1416	2562	1164	122	3138	5572	1690	1128	342	1096	0	48	0	1456	0	3920	8803	2292	270	56	3110	1604	4	592	0	50	928	1044	226	0	128	2404	2316	16	974	824	0	18	136	0	0	26	64	0	0	0	182	0	650	0	66	0	48	0	28	6	44	240	4	0	0	1366	0	0	1002	0	0	656	0	1566	40	252	20	86	0	32	0	1588	148	730	244	2020	0	0	2374	4	0	64	0	0	3264	94	0	522	1576	1196	1520	0	372	0	0	942
"CD263, TNFRSF10C"	0	1416	1012	0	410	182	2790	190	492	4676	3776	7353	9088	0	60	192	1888	240	338	1930	1472	24	1722	7300	226	8	256	444	138	0	698	2072	244	744	1040	1032	4176	0	2308	294	554	0	366	0	656	1160	1356	2066	72	0	5736	862	521	4	4	0	0	2084	0	2166	258	126	0	460	12438	2186	2	1612	0	5446	544	414	2040	2	0	624	0	8312	15520	2632	0	244	326	0	0	1400	1892	0	36	0	5546	0	266	0	0	0	276	0	16	0	530	0	318	0	98	932	0	64	58	0	74	2318	12	3834	10	3316	2240	0	0	154	0	10937	788	2152	20	0	0	0	580	0	88	72	0	0	2232	0	48	176	610	5062	28	8	290	0	0	378
